_id,info/city,info/homeSize,info/homeType,info/block,info/parking,flatmatePreferences/gender,flatmatePreferences/pets,flatmatePreferences/smoking,flatmatePreferences/agemin,flatmatePreferences/agemax,description/bills,description/features,description/homeDescription,occupants/interests,occupants/about,occupants/gender,occupants/age,occupants/compatiblePeople,occupants/pets,occupants/smoking,bedroomInfo/dateAvailable,bedroomInfo/bedroomSize,bedroomInfo/features,bedroomInfo/rent,bedroomInfo/bedroomFurniture,bedroomInfo/otherInformation,bedroomInfo/bond,bedroomInfo/overnight,bedroomInfo/bills,occupants/petDescription
108200,Sydney,3 bedrooms,House,North Sydney,No off-street parking,Females (str) && Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,18,-1,"$350pw inc bills for Ensuite room, with own entrance and own private courtyard. - Avail 5th DecDepending on length of stay can be cheaper..3-12 Months or longer preferred, but can leave earlier","Broadband Internet && Dishwasher && Clothes washer && Balcony, patio or deck && Courtyard, garden or yard && Neighbourhood views","Description of the home Beautiful split level house in North Sydney. All furniture provided (inc bedroom) or your welcome to bring your own furniture. Very quiet residential street in the heart of North Sydney with no road noise, 8 minutes walk to North Sydney Station.We are after someone that is reasonably tidy and clean but not too over the top.Someone that is quiet but still social-able and likes a laugh now and again.The flatmates are working professionals.","Animals and pets && Art and culture && Bars, pubs or clubs && Business && Computers or Internet && Cooking and food && Creative interests && Fashion && Health and fitness && Movie goer && Music && Personal development && Shopping && Television && Writing","Generally like to be fit and active, I am working full time and have a flexible routine.Marcel - I work as an mathematician and  Business consultant for a major finance company in North Sydney. Generally I am an outdoors person, and I like to break away from the office where possible :)Alana - Orginally from Germany living permanatly in Sydney,Fit - goes to gym Professional Corporate working in HR","Female, straight && Male, straight",25 to 30 years && 31 to 35 years,"We are looking for friendly and easy going people. We don't mind having friends over and a laugh now and again, but this is not a party house hold.We don't want travelers, unless you can commit for 6 months.This is a solid working professional householdStrictly one person per room, Flatmates are very sociable and native English speakers, and we are open to all nationalities.",No cat or dog,Non-smoker,5 December 2019 for 3 months to plus,Large bedroom (queen bed size),Ensuite bathroom && Wardrobe or rack && Built-in wardrobe && Use of separate room && Own outdoor area && Good view or outlook,330,With or without a bed,"Own Entrance, Own Courtyard and own en-suite bathroom",1 month,no,excludes,
111284,Melbourne,2 bedrooms,House,Balwyn North,Covered off-street,Any gender/sexuality,Without a cat or dog,Non-smokers,31,-1,Bills split between occupants,"Air-conditioning && Living area heating && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Study or office && Storage room && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && Electronic security","Description of the home Great house circa 1990, located in a quiet street in Balwyn.Features:-Gas central heating  -Security System-Enclosed front yard with lawn-Patio with BBQ -Remote lock up garage -Dishwasher-Fully furnished except for available rooms.-Short walk to supermarket/shops and 48 tram 201, 302, 200 buses- 20 minute walk to 109 & 72 tram",Animals and pets && Art and culture && Creative interests && Health and fitness && Movie goer && Music && Personal development && Reading && Socialising && Travel,"Easy going, friendly 39yo male.  I like my outdoors activities and go away often on weekends.  I enjoy a regular glass of wine or beer and am quite social.  I am a pianist and piano teacher.  I am usually away for 60% of each week.","Male, gay/bi",36 to 40 years,"Looking for an easy going, considerate, trustworthy, clean and tidy housemate to share a great house/home in Balwyn.",Have a dog,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Own bathroom && Built-in wardrobe && Use of separate room,274.75,Without a bed,"Two good sized bedrooms for $1099.00.  Ideal for someone who would prefer their own bedroom and separate room for study, den, storage, etc.  Rooms come with their own toilet and bathroom.",1 month,no,excludes,
114683,Brisbane,4+ bedrooms,House,Spring Hill,Uncovered off-street,Any gender/sexuality,Without a cat or dog,Non-smokers,18,-1,All Utilities are included in the rent price.,"Cable or satellite TV && Broadband Internet && Clothes washer && Balcony, patio or deck","Description of the home Located in Spring Hill's historic property precinct, this large adored workers cottage embodies traditional charm on a large inner city block. Our lovely vintage home has just been freshly painted. You will have exclusive use to your own private kitchen and full bathroom as well as living room furnished with a comfy lounge and TV. You will have exclusive use of a;* Private kitchen - Furnished with fridge and basic utensils/pots and pans. * Private full bathroom - With double vanity and large built in storage cupboard. * Private living room - Furnished with a comfy lounge and TV with Netflix. Large balcony with day bed and lounge. * Private Bedroom - Currently furnished with bunks but these can be removed. Also desk, draws and hanging storage available if    required.The double bedroom has a white tiled floor and there is a large bright window with block out curtains. The bedroom is furnished with a two single beds (bunk style. Can be removed if you want to furnish with own bed) and would suite two friends wanting to travel and stay together or a couple who want the convenience of shared living but still have their own private space. Separate sets of draws and a clothes racks are provided for clothes storage. There is a study table if you wish to have one in the room, but this can also be removed to the TV room or large veranda if you wish. There is a day bed on the veranda and a cozy outdoor lounge to enjoy on summer evenings. The private bathroom has a large built in wardrobe for a linen and towel storage and a double basin with two sets of storage draws. You also have your own self contained kitchen (the kitchen is huge!) and lounge room with a large balcony that extends off the lounge room entry. We have a seperate living space downstairs with our own bathroom, kitchen, lounge room and home office. Our bedrooms ( including secondary spare bedroom ) are upstairs on the same level.With public transport on its door step a this home boast ultra convenient inner city living. The house situated only 2 minutes walk to IGA and several yummy take away food outlets. A 15 minute stroll gets you to the popular Queen Street Mall and city precinct or hop on the free city glider if you prefer. Coles and Woolworths are also in walking distance. There a several local cafes within minutes that do a great coffee or weekend breakfast.","Animals and pets && Art and culture && Bars, pubs or clubs && Cooking and food && Creative interests && Current affairs && Health and fitness && Movie goer && Music && Natural therapies && Reading && Socialising && Television && Travel && Writing","Hi Shannon and Chris here, We are looking for a single or couple to share our home with us, our son Colt, Daughter Savannah, and our loveable dogs Parker and Simba.I am an animal behaviour and training consultant, and Chris is an accountant with KPMG. We are an easy going couple, who love life, love to cook, love our friends, and have a passion for music. We keep a clean and tidy house so are looking  for a like minded flat mate/s to occupy this room.","Female, straight && Male, straight",36 to 40 years,"I'm looking for a clean and tidy single or couple, who is/are easy going, love dogs and are looking for a place to call home.",Have a dog,Non-smoker,3 November 2019 for 5 months to plus,Large bedroom (queen bed size),Own bathroom && Wardrobe or rack && Desk available,300,With or without a bed,"This is a large sized bedroom that could fit a king sized bed if required. It is currently furnished with bunk beds and would be a great shared student room or for traveling friends. The mattresses and base are brand new and were originally purchased to use as a spare bed for guests. The room currently has a desk, small set of draws and clothes rack including shelves. You have your own private bathroom, Large kitchen and living room. Electricity, Gas, Water, Internet access and Netflix are included in the rent price.",1 month,yes,includes,"I have two very friendly and loveable dogs, a Labrador named Simba and small mix breed named Parker.They are well trained and love people and other dogs alike. They are both house trained and are inside dogs. They have strict indoor boundries, so they are not allowed in the kitchen, in your bedroom or on furniture unless invited.Simba and Parker are loved by all my friends and are part of the family.Overall the dogs are contained to our downstairs office and living area. One of the dogs sleeps in our room at night. They have an outdoor area at the back of the house where they can run around and play during the day. As I am a dog trainer we often have dogs coming and going from the house, so being a dog lover is a must!"
120302,Melbourne,3 bedrooms,Apartment,Southbank,Covered off-street,Any gender/sexuality,Without a cat or dog,Non-smokers,25,40,"The options provided by flatmate finders does not let me state the correct amount for the bond payment, which is $1300 per person. The bond is paid to the outgoing flatmate.- Off street parking can be managed with the local council by purchasing a permit.Electricty, gas & water bill are split evenly between 3. Roughly about $50-70 a month. WiFi is $70 a month and is split 3 ways.","Air-conditioning && Living area heating && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && City views && Neighbourhood views && Electronic security && Swimming pool && Gym or fitness area && Spa or hot tub","Description of the home Fantastic, sun-drenched and spacious 3 bedroom and 2 bathroom apartment in Southbank. Outdoor pool in the building gardens, as well as a small gym, hot tub and BBQ! Perfect place to relax any day! City views and a large balcony.Photos of the room and ensuite are to come, we are just busy getting the space ready for your arrival! Welcome to inspect.Reasons why we love living here Walk into Southbank or the CBD in under 15 minutes. Plus, the free tram zone starts at Flinders tram stop providing free travel through the city and to many key landmarks. The busy shopping, eating and entertainment precincts of Swan St, Bridge Rd, Clarendon St and Chapel St are all on your doorstep and accessible via tram.  Take a lap around the iconic Tan Track and take in the beautiful surrounds of the Melbourne Botanic Gardens with both less than 5 minutes walk away. Bonus take in the free concerts and activities that are regularly on offer at the Sidney Myer Music Bowl. Ideal for a person who doesnt have a car with so much within easy walking distance. Permit is available if required.Key landmarks -	NGV, Hammer Hall and Melbournes cultural and arts centres, 5 minute walk-	Flinders St Train Station and Tram Stop, 15 minute walk -	Federation Square, 15 minute walk  -	South Melbourne Market, 20 minute walk -	Melbourne & Olympic Parks, 20 minute walk -	MCG, 25 minute walk Key services -	Chemist: Chemist Warehouse, 3 minutes walk-	Convenience store: IGA Sturt Street Plus Liquor-	Train station, Flinders St-	Tram stop, 17-Grant St-Police Memorial/St Kilda Rd (Lines, 3/3a, 5, 6, 16, 64, 67 & 72)-	Tram stop, Miles Street - Stop 19 (Line 1)-	Tram stop, York St/Kings Way (Line 58)",Art and culture && Creative interests && Health and fitness && Music && Personal development && Socialising && Travel,"Hi there! You will be sharing the apartment with 2 ladies (early 30's) Kelly and Lauren, who have become great friends through the house share, and are both fun, respectful, and tidy housemates. We are looking to share this amazing apartment with a positive, health-orientated person. We both make use of the tan regularly and love living so close to the botanical gardens. We are fairly social outside of the apartment - We work hard during the week and would like to attract a like-minded person to live with.Sorry - No couples. Happy for a male or female to move in.","Female, straight",31 to 35 years,"- You're positive and enjoy your independence.- You're friendly, considerate and respect your housemates privacy & downtime :)- Ideally, you will make the apartment your home, and while your friends are welcome visitors, you're not seeking a party flat and aren't into rowdy nights in (anymore! Haha)   - You recognise good conversation and a chilled atmosphere are great things to come home too.- You understand the importance of adult conversations while living with others, and communicate in a respectful, understanding way.- The boring adult stuff - you're able to pay bills on time and can contribute to the usual houseshare stuff and keep a tidy home. Noise carries as the block winds down at night, so a considerate and thoughtful approach is always good.- Focused on long-term stays.- Would prefer to align to a 9 to 5 working pattern.Sorry - No couples. Happy for a male or female to move in.",No cat or dog,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Own bathroom && Built-in wardrobe && Walk-in wardrobe,325,Without a bed,"HUGE bedroom with your own private shower and toilet. Walk in robes with loads of cupboard space with sliding door and mirrors. Plus study or couch nook to make your own. Photos of the room and ensuite are to come, we are just busy getting the space ready for your arrival! Welcome to inspect.",1 month,yes,excludes,"Unfortunately, pets are not part of the lease agreement. ������"
12357,"NSW - Hunter, Central and North Coasts",2 bedrooms,House,Waratah,Uncovered off-street,Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers,18,-1,Landline telephone (if used),"Clothes washer && Clothes dryer && Courtyard, garden or yard","Description of the home Partly furnished freestanding house in Waratah. High ceilings, well lit rooms, separate lounge room and wooden polished & some carpeted floors. Washing machine and dryer available. Two Bathrooms with shower & toilet. Clean and tidy, a place to relax with a backyard. Off street parking  if needed. A great place to chill out, I think you will like it. Mod cons are few and its not pristine as it is a 1920's built House. Photos will be updated soon Close to University and Hospital. Waratah Railway Station and a park at one end of street. Braye Park is also near by. Quiet at night. Nearby shopping centre . Great location overall.",Art and culture && Community work && Computers or Internet && Creative interests && Health and fitness && Movie goer && Music && Natural therapies && Reading && Sports && Television && Writing,"Hi I'm Barry I am a single gay man well over  40 years. I no longer work full time and am concentrating on writing. Until the last couple of years I spent much of my spare time volunteering in sporting areas of the gay community. I am easy going and maintain a relaxed outlook generally. I have been involved  in Olympic Freestyle Wrestling, swimming, cycling and bushwalking all in the gay community. I like this rustic house as its a great place to relax and chill out. I am clean and tidy and expect the same.  I am flexible about cooking either sharing or just for myself. Enjoy a quite night at home. I some times look after dogs belonging to friends for an hour on Saturdays. (I have a large yard)","Male, gay/bi",41+ years,I would prefer to share with another gay man. I am looking for honest trustworthy friendly people to share my home with.,No cat or dog,Non-smoker,27 October 2019 for 1 month to plus,Large bedroom (queen bed size),Shared bathroom && TV aerial outlet && Desk available,200,With or without a bed,Room is unfurnished or part furnished whatever you prefer. Bedroom size is large plus sunroom,Discuss,no,includes,
128062,Melbourne,2 bedrooms,Apartment,South Yarra,Uncovered off-street,Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,25,-1,"$350 per week will cover all bills (gas, electricity & internet). Rent paid monthly (PCM)","Living area heating && Broadband Internet && Dishwasher && Clothes washer && Balcony, patio or deck && BBQ facilities && Neighbourhood views","Description of the home Great, modern 2 bedroom, 2 bathroom apartment in older style block of 6 in South Yarra. Top floor apartment with views. Fully furnished (except your bedroom furniture) large living area with views and separate dining room, modern style kitchen with outdoor balcony and BBQ. Located just around the corner from Botanical Gardens and Fawkner Park. Tram #58, Bus 246 and South Yarra Train Station within mins. walk. Close to CBD.",Business && Cooking and food && Creative interests && Health and fitness && Travel,"Hey, Paul & Filip here (couple) easy going and seeking to share their home with another person. Both work professionally and enjoy getting to the gym and travel.","Male, gay/bi",36 to 40 years,"We're looking for an easy-going person, who is friendly and considerate. Would prefer someone (gay) that works FT in a professional role. Must be neat and tidy throughout the apartment.",No cat or dog,Non-smoker && Outdoor smoker,1 November 2019 for 6 months to plus,Large bedroom (queen bed size),Own bathroom && Wardrobe or rack,295,With or without a bed,"A large bedroom that will fit: queen size bed, side tables and has own cloths rack. You have your own modern & clean bathroom next to bedroom (shower and toilet) Carpet throughout bedrooms and hall way and windows are fitted with blinds & curtain The hallway has extra storage and hanging space.",1 month,yes,excludes,
131838,Sydney,2 bedrooms,Apartment,Pemulwuy,No off-street parking,Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,25,-1,"Electricity, gas internet and Netflix shared approximately $100p.m or $25 per week.","Air-conditioning && Living area heating && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Balcony, patio or deck && Neighbourhood views && Water views && Gym or fitness area",Description of the home Spacious 2 bedroom apartment in Pemulwuy. The unit has a laundry.The unit in near public transport and within walking distance from the shops.,Health and fitness && Movie goer && Travel,"My name is Chris, I likes travelling, hiking and cycling. Looking to share with some responsible and fun going people preferably working in a 9-5 job.","Male, straight && Male, gay/bi",36 to 40 years,"I am looking for an easy going, social person around my age who works a 9-5 type job that will be fun at times and at times give me space to be.",Have a cat,Non-smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Own bathroom && Built-in wardrobe && Double glazed windows && Good view or outlook,250,Without a bed,"It is a large size room,  with a airy bright feel. You will have your own bathroom.",2 weeks,no,excludes,Oliver is a cat. He has been toilet trained on the human loo. You may need to flush the toilet for him occasionally.
13408,Sydney,3 bedrooms,House,North Ryde,Uncovered off-street,Any gender/sexuality,Without a cat or dog && Dogs okay,Non-smokers && Outdoors okay,18,40,Shared bills are Water Gas Electricity and Wifi. FOXTEL provided no charge,"Air-conditioning && Living area heating && Cable or satellite TV && Clothes washer && Clothes dryer && Storage room && Balcony, patio or deck && BBQ facilities && Neighbourhood views && Swimming pool && Gym or fitness area","Description of the home Your share of a good size house in North Ryde. This home is built for comfort, with good size deck and swimming pool. Very convenient to Macquarie University, Macquarie Park and the city, a bus outside the house to all of them and a train station 800m away.Would also consider sharing half of the house if convenient for the incoming tenant/s","Bars, pubs or clubs && Health and fitness && Movie goer && Music && Sports && Travel",Easy going home owner renting out rooms in the house. I work full time. Cook for ourselves but flexible. Big sports fan - love spending spare time watching sports. Clean and respectful of each other and the house.Nikolai - Current tenant is an easy going 28 year old who studies his final year at Mac Uni,"Male, straight",25 to 30 years && 36 to 40 years,"Looking for tidy, considerate tenant that is social and would be good if they enjoy an occasional beer / wine. Knows the general rules for share houses. Sports lover would be a bonus",No cat or dog,Non-smoker && Outdoor smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Shared bathroom && Wardrobe or rack && Air-conditioner,180,With or without a bed,Master room can easily accommodate a queen size bed. Price now reduced from $200,2 weeks,yes,excludes,
145610,Sydney,2 bedrooms,Apartment,Kurraba Point,No off-street parking,Females (str),Without a cat or dog,Non-smokers,36,-1,"The rent includes utilities (electricity, Internet/WiFi/Foxtel). Sharing cost of household cleaning items is an option.","Air-conditioning && Living area heating && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Balcony, patio or deck && Neighbourhood views && Water views && Electronic security","Description of the home A great sunny 2 bedroom security apartment at Kurraba Point, down the hill from Neutral Bay. It has a great living area with comfortable sofas, private balcony with harbour views and leafy outlook. It has timber floors, well-appointed kitchen, air-conditioning and internal laundry.We're in a great location, a 5 minute walk from city bus, train and ferry services. Shops, supermarkets, restaurants and cinemas are close by too, between 5 -8 minutes walk. We're a short stroll from parks and a public swimming pool. There is no garage available but there is good on-street parking in the quiet street.","Art and culture && Bars, pubs or clubs && Business && Cars or motorbikes && Computers or Internet && Cooking and food && Creative interests && Current affairs && Health and fitness && Music && Personal development && Reading && Socialising && Sports && Television && Travel && Writing","I'm Andrew, a Project Manager working in the city. My interests include keeping fit, reading, exploring the coastline and I’m a reasonable cook. Love to spend time with family and catching up with friends. I also enjoy travel, arts, sports, photography, architecture and a wide range of music. I like to keep the place nice, but I'm not OCD.","Male, straight",41+ years,"I'm hoping to meet up with a fun, easy going, tidy and considerate flatmate who will enjoy sharing this comfortable home. My preference is for a full time working professional. It's important to enjoy the place but also respect each others space and down time.",No cat or dog,Non-smoker,27 October 2019 for 2 months to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe && Desk available,350,With a bed,"The comfortable bedroom has built-in wardrobes, queen size bed, bedding, bedside table, lamp, chest of drawers, TV/DVD",1 month,yes,includes,
146781,Melbourne,3 bedrooms,House,Blackburn North,Uncovered off-street,Females (str) && Males (str) && Females (gay/bi),Pets okay,Non-smokers,25,40,"Electricity, gas and water bills are shared. The NBN internet is part of the weekly rent cost. There is currently no home phone.","Living area heating && Broadband Internet && Dishwasher && Clothes washer && Study or office && Storage room && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities","Description of the home This is a nicely renovated 3 bedroom (plus office/storage room) home in Blackburn North. There are 2 spacious, heated, separate living rooms that allow for plenty of quiet time if needed.The main living area provides lovely views of the shady native back garden that lets you feel like you are living in the country. The main toilet is separate from the bathroom. The house also has a modern bathroom, with a bath, basin and glass shower that is only used by two of the tenants.The house has NBN and WiFi access, polished timber floorboards throughout and requires no furniture other than for the bedroom. There is some space for furniture in the second living room if you have some. The kitchen has all that you need to cook with.This is a non smoking house in the interests and comfort of the house occupants.Located in a quiet friendly back street with very little traffic. There are two off street parking spaces and parking on the street is no problem either.The local shopping centre is only 1 km away. It has two supermarkets and a bunch of other little shops. Box Hill Central and Westfield Doncaster are just a short distance for lots of restaurants, shopping etc. If that isn't enough then the eastern freeway is just around the corner to get you into town in a matter of minutes.Public transport is just as close either by bus on the freeway or train from Blackburn or Box Hill. There are lots of park lands near by and a cycle path that heads to the city in one direction and Ringwood and Frankston in the other.",Health and fitness && Movie goer && Reading && Socialising && Sports && Travel,"The 2 current tenants are both friendly, approachable and mostly do their own thing including cooking their own meals etc. Peter is age 35, laid back but responsible. He is quite open and flexible.His Interests are: Computers or Internet Dancing Spirituality SportsJake is an Engineer and has a small sailing boat in the garage. He has an affectionate cat named Charlie.","Male, straight",31 to 35 years && 36 to 40 years,This house is looking for one more person who is employed and able to do their bit around the house but that shouldn't be too hard as the house is easy to clean and maintain. You would not be smoker or heavy drinker or use recreational drugs. Meals around the house are usually taken care of by each tenant but there may be the odd shared meal when it suits.,Have a cat,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe && Double glazed windows,175,Without a bed,"About the room.......This bed room has a large built in wardrobe with enough shelves, draws and hanging space for anyone. The floor space (not including the wardrobe) for this room will easily accommodate a Queen size bed side tables and some other furniture. This room has no shared walls with other bedrooms and has a front facing outlook to a native plant front garden.",1 month,no,excludes,Charlie the cat has recently moved in and is affectionate and unobtrusive.
