Brand,Model,Weight,Released on the market,For women,For kids,Frame material,Frame type,Collapsible frame,Color,Fork type,Shock absorber type,Shock absorber pressure,Fork name,Wheel drive,Drive type,Transmission type,Number of speeds,System name,Cassette name,Front derailleur gears name,Rear derailleur gears name,Shifters type,Shifters name,Front brakes,Front brakes name,Rear brakes,Number of wheels,Wheels diameter,Double rim,Rim material,Rims name,Tyres pattern,Tyres name,Handlebar type,Handlebar name,Seat type,Seat suspension,Seat name,Pedals type,Pedals name,Front panel,Rear panel panel,Trunk,Rearview mirror,Horn,Basket
Aist,24 210 (2014),-,2014,Steel,-,Steel,Open,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"24 """,-,Aluminium,-,-,-,-,-,Comfortable,Platform,-,Platform,-,??????,??????,front,front,front,front
Aist,26 210 (2014),-,2014,Steel,-,Steel,Open,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"26 """,-,Aluminium,-,-,-,-,-,Comfortable,Platform,-,Platform,-,??????,??????,front,front,front,front
Aist,26 211 (2014),-,2014,Steel,-,Steel,Closed,-,Black,Tough,-,-,-,Rear,Chain,with planetary gear,3,-,-,-,-,Grip-Shift,-,-,-,-,-,"26 """,-,Aluminium,-,-,With the rise of,With the rise of,With the rise of,Comfortable,-,-,Platform,-,??????,??????,front,front,front,front
Aist,28 160 (2014),-,2014,Steel,-,Steel,Closed,-,Orange,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,-,Aluminium,-,-,-,-,-,Comfortable,???????,-,Platform,-,??????,??????,front,front,front,front
Aist,28 161 (2014),-,2014,Steel,-,Steel,Closed,-,Blue,Tough,-,-,-,Rear,Chain,with planetary gear,3,-,-,-,-,Grip-Shift,-,-,-,-,-,"28 """,-,Aluminium,-,-,"1.75""",-,-,Comfortable,-,-,Platform,-,??????,??????,front,front,front,front
Aist,28 240 (2013),-,2013,Steel,-,Steel,Open,-,"Red, Green, Blue",Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,-,Aluminium,-,Slicks,Slicks,-,-,Comfortable,???????,-,Platform,-,Partial,Partial,-,-,-,-
Aist,28 240 (2013),-,2013,Yes,-,Steel,Open,-,"Red, Green, Blue",Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,-,Aluminium,-,Slicks,-,-,-,Comfortable,Yes ???????,-,Platform,-,Yes,Yes,No,No,-,No
Aist,28 260 (2014),-,2014,Steel,-,Steel,Open,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,-,Aluminium,-,-,-,-,-,Comfortable,Platform,-,Platform,-,??????,??????,front,front,front,front
Aist,28 261 (2014),-,2014,Steel,-,Steel,Open,-,Black,Tough,-,-,-,Rear,Chain,with planetary gear,3,-,-,-,-,Grip-Shift,-,-,-,-,-,"28 """,-,Aluminium,-,-,With the rise of,With the rise of,With the rise of,Comfortable,-,-,Platform,-,??????,??????,front,front,front,front
Aist,28 270 (2014),-,2014,Steel,-,Steel,Open,-,Red,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,-,Aluminium,-,-,-,-,-,Comfortable,???????,-,Platform,-,??????,??????,-,-,-,-
