Price,Brand,Model,Colour,Wheel Size,Frame Size,Gender,Speed,Material,Age Group,Fork Travel,Rear Travel,Frame,Forks,Brake,Cable,Brake Levers,Chainwheel,Freewheel,Chain,Headset,Crank,Bottom Bracket,Rims,Front Hub,Rear Hub,Tyres,Seat,Handlebars,Handlebar Stem,Grips,Pedal,Fork,Steerer,Stem,Handlebar,Handlebar Tape,Shifter/Brake Levers,Brake System,Front Derailleur,Rear Derailleur,Crankset,Cassette,Saddle,Seatpost,Tubeless Ready Tyres,Tubeless Ready Wheels,Pedals,Dropouts/Axle Type,Maximum Tyre Size,Rear Pannier Rack Compatible,Mudguards Compatible,Replacement Gear Hanger,Weight,Drivetrain,Chainset,Shifters,Wheelset,Brakes,Bars,Use,Brake Rotors,Bar Tape,Brake Caliper Mounts,Wheels,Axles,Max Tyre Clearance,Seat Clamp,Cog,Hub Spacing,Gear/Brake Levers,Tyre Clearance,Seat Post,Cable Routing,Brake Fitment,Components,Disc Brakes,Handle Bar,Stem/Seatpost,Fork Weight,Frame Weight,Chainring,Hubs,Spokes/Nipples,Accessories,Rear Shock,ISCG Tabs,Chainguide,Spokes,Front Tyre,Rear Tyre,Seat Post Clamp,Warranty,Maximum Tyre Sizes,Carrier / Basket,Mudguards,Stand,Additional,Light Front,Light Rear,Front Light,Rear Light,Seatclamp,Tyre,Seatpost Clamp,Kickstand,Mudguard,Bell,Extras,Includes,Shift/Brake Levers,Shift Brake Levers,Manufacturer Part Numbers,17” Blue/Red,19” Blue/Red,21” Blue/Red,17” Black/Flash Yellow,19” Black/Flash Yellow,21” Black/Flash Yellow,Carrier,Carrier Rack,Shock Hardware,Front Derailluer,Cranks,Integrated Handlebar/Stem,Shift/ Brake Levers,Engine,Battery,Charger,Display,Shifter,50cm,53cm,56cm,59cm,62cm,Chain Guide,Front Tyres,Rear Pannier Rack,54cm,58cm,Lights,Frameset,Brake/Shift Levers,Front Brake,Rear Brake,Geometry,BB,Sprocket,Front Wheel,Rear Wheel,Misc,Brakeset,Brakset,Gear Hanger Model Number,Chain Device,Cog Set,Handebar,Rear Cog,Rear Cogs,Rear Cassette,Frame Material,Top Tube Length,Brake Lever,Brake Cable,Driver,Front Rim,Rear Rim,Gyro Tabs,Stuntpegs,Chain Stay Length,Headtube Angle,Seat Tube Angle,Gearing,Crankarms,Chainrings,Brake Calipers,Front Brake Rotor,Rear Brake Rotor,B/b,B/B,Sitting Posture,Hub Type,Number of Gears,Brake Type,Luggage Carrier,Child Seat Compatible,Front Seat Compatible,Rear Seat Compatible,Light,Lock Type,Suspension Fork,Tyre Sealant,Discs,Battery Charger,Brake Rotor,Axle to Crown,Fork Offset,Max Tyre Size,Protection,Front Rotor,Rear Rotor,Brakes/Shifter,Stem Lengths,Shock,Rear Deraileur,Derailleurs,Levers,Shifter L,Shifter R,Brakes Front,Brakes Rear,Tubes,Frame/Fork,Brake Discs,Groupset,Derailleur Rear,Axle Front,Axle Rear,Front Axle,Rear Axle,Suggested Rider Size,Barends,Pegs,Top Tube,Chain Stay,Head Tube,Seat Tube,Brake Mounts,Bar Ends,Stand Over,BB Height,Head Tube Angle,Standover Height,Bottom Bracket Height,Rear Lever,Adjustable Stem,Suspension Forks,Grip(Tape),Spoke,Front Brake Set,Rear Brake Set,Seat Screw,Rear Shifter,Rotors,Grip (Tape),Left Shifter,Right Shifter,Rear rim,Rear hub,Rear Bbrake Set,Front hub,Tyre Type,Minimum Saddle Height,Maximum Saddle Height,F/rim,R/rim,F/hub,R/hub,F/tire,R/tire,F/brake Set,R/brake Set,R/derailleur,R/shifter,Ideal Rider Inside Leg Length
281.99,Blank,Ammo BMX Bike,Black,"20""",------,------,------,------,------,------,------,"New Blank 'Geometry' 1020 Hi Ten, 20.4"" Top Tube","Blank Compound 20"" 'Tapered' 30mm Offset Forks",Rear 990 Alloy Style U-Brake,Slic Cable,Resin And Alloy Combo,Blank 'Wtf 2' Sprocket 25t Steel,9t,S410,"1-1/8"" External",3pc 4130 Chromoly 170mm Crank,USA,"Blank 20"" 36 Hole Alloy",10mm Open Bearing Steel,Fully Sealed '4' Bearing Alloy 9t Cassette,"Blank Compound 20"" X 2.4"" Front And Rear",Blank Combo 'Faux Leather' Seat,"Blank Compound 8.75"" Bars",Blank Compound 55mm Top Load Stem,Blank 'Mushroom' Style Flangeless,Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
235.00,Blank,Buddy BMX Bike,"Black, Olive Green","16""",------,------,------,------,------,------,------,"Blank 'Slim' 1020 Hi Ten, 16.5"" Top Tube","Blank Compound 16"" 'Tapered' 30mm Offset Forks",Rear 990 Style Alloy U-Brake,Slic Cable,Mini Levers,Blank 'Wtf V2' Sprocket 25t Steel,10t,S410,"1-1/8"" External",Blank 1pc Hot Forged 140mm,USA,"16"" 20 Hole Alloy",10mm Open Bearing Steel,10t 10mm Open Bearing Cassette,"16"" X 2.4""",Blank Combo Junior 'Faux Leather' Seat,"Blank Compound Mini 7"" Rise",Blank 40mm Compact Stem,Blank 'Flangeless' Mini Grips,Wellgo Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
187.99,Blank,Cub BMX Bike,"Black, Red","12""",------,------,------,------,------,------,------,"Blank 1020 Hi Ten 11.9"" Top Tube","Blank Compound 12""Hi Ten Forks",Rear Caliper Brake,Slic Cable,Mini Levers,25t Sprocket Steel,10t,S410,"1-1/8"" External",1pc Hot Forged 97mm,USA Open Bearing,"12"" 7x Design 16 Hole Alloy",10mm Open Bearing Steel,10t 10mm Open Bearing Cassette,"12"" Wanda 12 X 2 1/4""",Blank Combo Junior Seat,"Blank Compound Mini 4.73"" Rise","Blank 1-1/8"" Ahead 40mm Short Reach Stem",Mini Grips,Mini' Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
469.99,Blank,Diablo BMX Bike,Nicker Silver,"20""",------,------,------,------,------,------,------,"New Blank 'Geometry' Full 4130 Chromoly W/20.85"" Top Tube & Removable Brake Hardware",Blank 'Generation 3' Full 4130 Chromoly Forks With 30mm Offset,Rear 990 Style Alloy U-Brake With Removable Lugs,Slic Cable,Alloy 'Hinged' Levers,Blank 'Wtf 2' Sprocket 28t Alloy,9t,S410,Sealed Internal,Blank Compound 3pc Chromoly 175mm Crank,MID Sealed,Blank 40mm 'Compound Xl' 36 Hole Alloy,10mm Fully Sealed Alloy,Fully Sealed 4 Bearing Alloy 9t Cassette,"20"" X 2.4"" Front And Rear",Blank 'Faux Leather' Pivotal Seat W/200mm Pivotal Post,"New Blank 100% 4130 Chromoly 2pc 9.5"" Bars",Blank Compound 55mm 'Hi-Rise' Stem,Blank 'Mushroom' Style Flangeless,Blank Slim Nylon Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
187.99,Blank,Digit BMX Bike,"Black, Blue","14""",------,------,------,------,------,------,------,"Blank 1020 Hi Ten, 14"" Top Tube","Blank Compound 14"" Hi Ten Forks",Rear Caliper Brake,Slic Cable,Mini Levers,25t Sprocket Steel,10t,S410,"1-1/8"" External",Blank 1pc Hot Forged 127mm,USA Open Bearing,"14"" 20 Hole Alloy",10mm Open Bearing Steel,10t 10mm Open Bearing Cassette,"Wanda 14"" X 2.0"" Steel Bead Tyre",Blank Combo Junior Seat,"Blank Compound Mini 5.53"" Rise","Blank 1-1/8"" Ahead 40mm Short Reach Stem",Mini Grips,Mini' Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
235.00,Blank,Hustla BMX Bike,"Battleship Grey, Silver","18""",------,------,------,------,------,------,------,"New 2021 Blank 'Slim' 1020 Hi Ten, 18.5"" Top Tube","Blank Compound 18"" 'Tapered' 30mm Offset Forks",Rear 990 Style Alloy U-Brake,Slic Cable,Resin And Alloy Combo,Blank 'Wtf V2' Sprocket 25t Steel,9t,Z410,"1-1/8"" External",Blank 1pc Hot Forged 152mm,USA,"18"" 28 Hole Alloy",10mm Open Bearing Steel,9T 10mm Open Bearing Cassette,"18"" X 2.4""",Blank Combo Junior 'Faux Leather' Seat,"Blank Compound 8"" Rise",Blank 40mm Compact Stem,Blank 'Flangeless' Mini Grips,Wellgo Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
376.00,Blank,Icon BMX Bike,Teal,"20""",------,------,------,------,------,------,------,"New Blank 'Geometry' 1020 Hi Ten W/20.85"" Top Tube, Chromoly Down Tube & Removable Brake Hardware","Blank Compound 3 20"" 30mm Offset Forks With Chromoly Steerer",Rear 990 Style Alloy U-Brake With Removable Lugs,Slic Cable,Alloy 'Hinged' Levers,Blank 'Wtf 2' Sprocket 25t Steel,9t,S410,Sealed Internal,3pc 4130 Chromoly 170mm Crank,MID Sealed,Blank 40mm 'Compound Xl' 36 Hole Alloy,10mm Fully Sealed Alloy,Fully Sealed 4 Bearing Alloy 9t Cassette,"Blank Compound 20"" X 2.4"" Front And Rear",Blank Combo 'Faux Leather' Seat,"Blank Compound 9.25"" 2 Pc Bars (Hi-Ten)",Blank Compound 55mm 'Hi-Rise' Stem,Blank 'Mushroom' Style Flangeless,Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
235.00,Blank,Tyro BMX Bike,"Deep Blue, Steel Grey","20""",------,------,------,------,------,------,------,"New Blank 'Geometry' 1020 Hi Ten, 20.4"" Top Tube","Blank Compound 20"" 'Tapered' 30mm Offset Forks",Rear 990 Alloy Style U-Brake,Slic Cable,Resin And Alloy Combo,Blank 'Wtf 2' Sprocket 25t Steel,9t,S410,"1-1/8"" External",Blank 1pc Hot Forged 170mm,USA,"Blank 20"" 36 Hole Alloy",10mm Open Bearing Steel,10t 10mm Open Bearing Cassette,"20"" X 2.3""",Blank Combo 'Faux Leather' Seat,"Blank Compound 8.75"" Bars",Blank Compound 55mm Frontload Stem,Blank 'Mushroom' Style Flangeless,Plastic Freestyle Pedals,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
281.99,Brand-X,Road Bike,Black,700c,"M, XL, S, XS, L",Unisex,7 Speed,Aluminium,------,------,------,6061 Alloy,------,------,------,------,------,------,KMC Z51,------,------,Sealed cartridge,------,------,------,Kenda 700x25c,------,------,------,------,------,Steel,"1-1/8""",Alloy: 48cm = 90mm; 51/54cm = 100mm;  57/60cm = 110mm,Alloy Road Drop,Cork,Shimano Tourney,Tektro R312 rim brakes,"Shimano Tourney, band-on",Shimano Tourney,"Prowheel, compact chainset","Shimano, 14-28T",Velo,"Alloy, 27.2mm",No,No,Supplied with basic flat pedals,Quick release with replaceable rear derailleur hanger,700x25c,Yes,Yes,Brand-X RD-01,11.5kg (Medium),------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
1409.99,Ceepo,Venom R7000 105 TT Bike 2020,Black - Grey,------,S,Unisex,------,Carbon,------,------,------,------,------,------,------,------,------,------,------,"1-1/8""-1-1/4""",------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Shimano 105 R7000,Prologo Kapa RS,------,------,------,------,------,------,------,------,------,------,"Shimano 105 R7000, 11-Speed",Shimano 105 R7000,BSR1 TT barend shifters,Vision Team 35,Tektro R731 and 741 Direct Mount brakes,Deda Tribar Carbon basebar with Fastblack2 carbon extensions,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
