title,url,type
Creme Caferacer Man Doppio Bike 2020,/creme-caferacer-man-doppio-bike-2020/rp-prod193378,hybrid
Creme Caferacer Man Solo Urban Bike 2020,/creme-caferacer-man-solo-urban-bike-2020/rp-prod193403,hybrid
Creme Caferacer Man Uno Urban Bike 2020,/creme-caferacer-man-uno-urban-bike-2020/rp-prod193402,hybrid
Creme Molly Ladies Bike 2020,/creme-molly-ladies-bike-2020/rp-prod193380,hybrid
Creme Ristretto Bolt Dynamo Urban Bike 2020,/creme-ristretto-bolt-dynamo-urban-bike-2020/rp-prod193366,hybrid
Creme Ristretto Speedstar ST Urban Bike 2020,/creme-ristretto-speedstar-st-urban-bike-2020/rp-prod193373,hybrid
Creme Ristretto Speedstar Urban Bike 2020,/creme-ristretto-speedstar-urban-bike-2020/rp-prod193372,hybrid
Cube Hyde Urban Bike 2021,/cube-hyde-urban-bike-2021/rp-prod200882,hybrid
Cube Nature Trapeze Urban Bike 2021,/cube-nature-trapeze-urban-bike-2021/rp-prod200857,hybrid
Cube Nature Urban Bike 2021,/cube-nature-urban-bike-2021/rp-prod200884,hybrid
Cube Reaction Hybrid Performance 625 E-Bike 2021,/cube-reaction-hybrid-performance-625-e-bike-2021/rp-prod202305,hybrid
Cube Touring Bike 2021,/cube-touring-bike-2021/rp-prod200878,hybrid
Cube Touring Easy-Entry Bike 2021,/cube-touring-easy-entry-bike-2021/rp-prod200906,hybrid
Cube Touring Pro Bike 2021,/cube-touring-pro-bike-2021/rp-prod200900,hybrid
Cube Touring Pro Trapeze Bike 2021,/cube-touring-pro-trapeze-bike-2021/rp-prod200876,hybrid
Cube Touring Trapeze Bike 2021,/cube-touring-trapeze-bike-2021/rp-prod200863,hybrid
Fuji Absolute 1.7 ST Urban Bike 2021,/fuji-absolute-1-7-st-urban-bike-2021/rp-prod201702,hybrid
Fuji Absolute 1.7 Urban Bike 2021,/fuji-absolute-1-7-urban-bike-2021/rp-prod201704,hybrid
Fuji Absolute 2.1 ST Urban Bike 2021,/fuji-absolute-2-1-st-urban-bike-2021/rp-prod201705,hybrid
Fuji Absolute 2.1 Urban Bike 2021,/fuji-absolute-2-1-urban-bike-2021/rp-prod201703,hybrid
Fuji Declaration Urban Bike 2021,/fuji-declaration-urban-bike-2021/rp-prod201708,hybrid
Fuji Feather Urban Bike 2021,/fuji-feather-urban-bike-2021/rp-prod201706,hybrid
Fuji Nevada 26 1.9 V-BRAKE Urban Bike 2021,/fuji-nevada-26-1-9-v-brake-urban-bike-2021/rp-prod202683,hybrid
Fuji Touring Disc Bike 2021,/fuji-touring-disc-bike-2021/rp-prod201662,hybrid
Fuji Touring Disc LTD Bike 2021,/fuji-touring-disc-ltd-bike-2021/rp-prod201661,hybrid
Fuji Traverse 1.7 ST Urban Bike 2021,/fuji-traverse-1-7-st-urban-bike-2021/rp-prod201700,hybrid
Fuji Traverse 1.7 Urban Bike 2021,/fuji-traverse-1-7-urban-bike-2021/rp-prod201701,hybrid
Ghost Square Trekking 4.8 W Urban Bike 2020,/ghost-square-trekking-4-8-w-urban-bike-2020/rp-prod199648,hybrid
GT Transeo Comp Step Thru Urban Bike 2021,/gt-transeo-comp-step-thru-urban-bike-2021/rp-prod200315,hybrid
GT Transeo Comp Urban Bike 2021,/gt-transeo-comp-urban-bike-2021/rp-prod200326,hybrid
GT Transeo Elite Urban Bike 2021,/gt-transeo-elite-urban-bike-2021/rp-prod200328,hybrid
GT Transeo Sport Step Thru Urban Bike 2021,/gt-transeo-sport-step-thru-urban-bike-2021/rp-prod200327,hybrid
GT Transeo Sport Urban Bike 2021,/gt-transeo-sport-urban-bike-2021/rp-prod200316,hybrid
Kona Dew Deluxe Urban Bike 2021,/kona-dew-deluxe-urban-bike-2021/rp-prod200688,hybrid
Kona Dew Urban Bike 2021,/kona-dew-urban-bike-2021/rp-prod199723,hybrid
Laventino Glide 3 Men's Urban Bike,/laventino-glide-3-men-s-urban-bike/rp-prod199737,hybrid
Laventino Glide 8 Men's Urban Bike,/laventino-glide-8-men-s-urban-bike/rp-prod199739,hybrid
Laventino Glide 8+ Men's Urban Bike,/laventino-glide-8-men-s-urban-bike/rp-prod199740,hybrid
Rondo Booz ST Urban Bike 2020,/rondo-booz-st-urban-bike-2020/rp-prod187116,hybrid
Van Tuyl Lunar N7 Men's Urban Bike,/van-tuyl-lunar-n7-men-s-urban-bike/rp-prod199745,hybrid
Van Tuyl Lunar N8 Extra Men's Urban Bike,/van-tuyl-lunar-n8-extra-men-s-urban-bike/rp-prod199749,hybrid
Van Tuyl Terra S27 Men's Urban Bike,/van-tuyl-terra-s27-men-s-urban-bike/rp-prod199754,hybrid
Vitus Dee City Bike (Tourney) 2021,/vitus-dee-city-bike-tourney-2021/rp-prod195696,hybrid
Vitus Dee VR City Bike (Nexus) 2021,/vitus-dee-vr-city-bike-nexus-2021/rp-prod195671,hybrid
Vitus Mach 3 VR Urban Bike (Claris) 2021,/vitus-mach-3-vr-urban-bike-claris-2021/rp-prod195698,hybrid
Vitus Mach 3 VRS Urban Bike (Sora) 2021,/vitus-mach-3-vrs-urban-bike-sora-2021/rp-prod195670,hybrid
