Fiyat,Marka,Model,Model Yılı,Bisiklet Sınıfı,Kullanıcı Sınıfı,Yaş Grubu,Cinsiyet,Vites Sayısı,Kadro Malzemesi,Ağırlık,Jant Çapı,Jant Malzemesi,Fren Tipi,Amortisör,Amortisör Konumu,Amortisör Türü,Elektrik Motoru,Akü Gerilimi,Akü Kapasitesi,Motor Gücü,Azami Sürüş Menzili,Şarj Süresi
----,Anatolia,Amörtisörlü Bayan 24,----,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Arbike,1612,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2000,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2002,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2009,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2011 Baloon,----,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2012,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2403,2016,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
----,Arbike,2406 (24 inç),----,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2606 (26 inç),----,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2617 MD,2016,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Arbike,2701,2016,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Arbike,2801,2016,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Cube,Attain Race Disk,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,20,Alüminyum / Alaşım,----,28 inç,----,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Arbike,2803,2016,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Arbike,2901,2016,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Arbike,2902,----,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,29 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Berg,Basic,2018,Pedallı Araba,Çocuk,5-15 yaş,Unisex,1,Çelik,----,----,Plastik,Kontra Frenli / El Frenli,Yok,----,----,----,----,----,----,----,----
----,Berg,BMW Street Racer,2018,Pedallı Araba,Çocuk,3-8 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buddy John Deere,2018,Pedallı Araba,Çocuk,3-8 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buddy Orange,2018,Pedallı Araba,Çocuk,3-8 yaş,Erkek,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buddy Prof,2018,Pedallı Araba,Çocuk,3-8 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buddy White,2018,Pedallı Araba,Çocuk,3-8 yaş,Kadın,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
1589,Berg,Buzzy,2018,Pedallı Araba,Çocuk,2-5 yaş,Unisex,1,Çelik,----,12 inç,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buzzy Bloom,2018,Pedallı Araba,Çocuk,2-5 yaş,Kadın,1,Çelik,----,12 inç,Plastik,Frensiz,----,----,----,----,----,----,----,----,----
----,Berg,Buzzy Fiat 500,2018,Pedallı Araba,Çocuk,2-5 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
1749,Berg,Buzzy Nitro,2018,Pedallı Araba,Çocuk,2-5 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Buzzy Racing,2018,Pedallı Araba,Çocuk,2-5 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
3129,Berg,Choppy,2018,Pedallı Araba,Çocuk,3-8 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Compact Pink,2018,Pedallı Araba,Çocuk,4-12 yaş,Kadın,1,Çelik,----,----,Plastik,Kontra Frenli / El Frenli,Yok,----,----,----,----,----,----,----,----
----,Berg,Compact Sport,2018,Pedallı Araba,Çocuk,4-12 yaş,Erkek,1,Çelik,----,----,Plastik,Kontra Frenli / El Frenli,Yok,----,----,----,----,----,----,----,----
----,Berg,Ford Mustang GT,2018,Pedallı Araba,Çocuk,4-12 yaş,Unisex,1,Çelik,----,----,Plastik,Kontra Frenli,Yok,----,----,----,----,----,----,----,----
----,Berg,Jeep Adventure,2018,Pedallı Araba,Çocuk,4-12 yaş,Unisex,1,Çelik,----,----,Plastik,Kontra Frenli,Yok,----,----,----,----,----,----,----,----
----,Berg,Jeep Junior,2018,Pedallı Araba,Çocuk,3-8 yaş,Unisex,1,Çelik,----,----,Plastik,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Berg,Rally Orange,2018,Pedallı Araba,Çocuk,4-12 yaş,Unisex,1,Çelik,----,----,Plastik,Kontra Frenli,Yok,----,----,----,----,----,----,----,----
1282,Bianchi,Adrenaline,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,AFX 7029 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,AFX 7127 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,AFX 8029 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1519,Bianchi,Alto,2018,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Angry 24,2017,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
----,Bianchi,ARX 627 (27.5 inç),2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,ARX 629 (29 inç),2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,ARX 727 (27.5 inç),2017,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,ARX 729 (29 inç),2017,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1401,Bianchi,Aspid 24,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Aspid 25,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1779,Bianchi,Aspid 26,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Aspid 26 Kadın,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1881,Bianchi,Aspid 27,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Aspid 29,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1735,Bianchi,Aspid 36,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Aspid 37,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2236,Bianchi,Aspid 39,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2200,Bianchi,Aspid 46,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Aspid 47,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2374,Bianchi,Aspid 49,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2056,Bianchi,Aspid Mix 2621,----,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2890,Bianchi,Aspid Mix 2627,----,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Barbie 12 (12 inç),2018,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,12 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Barbie 16 (16 inç),2018,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
1299,Bianchi,Barbie 20 (20 inç),2018,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Bella 24,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
1160,Bianchi,Bella 26,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Big Bang,2018,Özel Tasarım,Çocuk,----,Unisex,1,Alüminyum / Alaşım,----,12 inç,Alüminyum / Alaşım,Frensiz,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Buffalo 20,2019,Özel Tasarım,Çocuk,----,Erkek,6,Çelik,----,20 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Buffalo 24,2019,Özel Tasarım,Yetişkin,----,Erkek,7,Çelik,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Buffalo 26,2019,Özel Tasarım,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
1023,Bianchi,Captain Kidd 14,2020,Şehir/Tur Bisikleti,Çocuk,----,Unisex,1,Alüminyum / Alaşım,----,14 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Captain Kidd 16,2020,Şehir/Tur Bisikleti,Çocuk,----,Unisex,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
2849,Bianchi,Cargo,2020,Özel Tasarım,Yetişkin,----,Unisex,6,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Cargo Junior Erkek,2018,Özel Tasarım,Çocuk,----,Erkek,1,Çelik,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Cargo Junior Kız,2018,Özel Tasarım,Çocuk,----,Kadın,1,Çelik,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Carmen,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Daisy Bayan 24,2016,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Discovery 504,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Discovery 505,2019,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Discovery 506,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Enduro,2018,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
1899,Bianchi,Energy D,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Bianchi,Fiore,2018,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Flora Bayan 26,2016,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Bianchi,Folding 21,2018,Katlanır Bisiklet,Yetişkin,----,Unisex,21,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
