Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Laventino;Glide 3 Men's Urban Bike;299;Hybrid - City;17.5kg;"61cm (24"")";------;7 Speed;------;Roller Brake
Van Tuyl;Lunar N7 Men's Urban Bike;299,99;Hybrid - City;------;"57cm (22""), 61cm (24""), 53cm (21"")";------;7 Speed;------;Roller Brake
Vitus;Vee City Bike (SS - 2021) 2021;299,99;Hybrid - City;18kg;M, L;N/A;Single Speed;"Vee, Hi-Ten Steel, 1 1/8"" Steerer, Mudguard Mounts";Alhonga V Brake
Laventino;Glide 8 Men's Urban Bike;349,99;Hybrid - City;------;"61cm (24"")";------;8 Speed;------;Roller Brake
Laventino;Glide 8+ Men's Urban Bike;349,99;Hybrid - City;18.2kg;"61cm (24"")";------;8 Speed;------;Roller Brake
Van Tuyl;Lunar N8 Extra Men's Urban Bike;349,99;Hybrid - City;18.2kg;"61cm (24"")";------;8 Speed;------;Roller Brake
Vitus;Dee City Bike (Tourney) 2021;349,99;Hybrid - City;18.3kg;L, M;Shimano Tourney, RD-A070, 7 Speed;7 Speed;"Vee, Hi-Ten Steel, 1 1/8"" Steerer, Mudguard Mounts, QR";Alhonga, Front: 160mm, Rear: 160mm
Van Tuyl;Terra S27 Men's Urban Bike;359;Hybrid - City;16.6kg;"61cm (24"")";------;27 Speed;------;V-Brake
Fuji;Absolute 2.1 ST Urban Bike 2021;379,99;Hybrid - City;------;"43.5cm (17""), 19""";Shimano Tourney 7-Speed;21 Speed;Fuji Hi-Ten steel;Tektro alloy linear pull
Fuji;Absolute 2.1 Urban Bike 2021;379,99;Hybrid - City;------;"43.5cm (17""), 21"", 59cm (23""), 19""";Shimano Tourney 7-Speed;21 Speed;Fuji Hi-Ten steel;Tektro alloy linear pull
GT;Transeo Sport Step Thru Urban Bike 2021;389,99;Hybrid - City;------;L, S, M;Shimano Tourney, 7-Speed;21 Speed;GT Fork w/ Steel Raked Legs, Rack and Fender Eyelets, Steel Steerer;Mech Disc, 160/160mm Rotors
GT;Transeo Sport Urban Bike 2021;389,99;Hybrid - City;------;M, S, L, XL;Shimano Tourney, 7-Speed;21 Speed;GT Fork w/ Steel Raked Legs, Rack and Fender Eyelets, Steel Steerer;Mech Disc, 160/160mm Rotors
GT;Transeo Comp Step Thru Urban Bike 2021;429,99;Hybrid - City;------;M, L, S;Shimano Tourney, 7-Speed;21 Speed;SR Suntour NEX-DS, 63mm, Coil;Tektro Mech Disc Brakes, 160/160mm Rotors
GT;Transeo Comp Urban Bike 2021;429,99;Hybrid - City;------;S, M, XL, L;Shimano Tourney, 7-Speed;21 Speed;SR Suntour NEX-DS, 63mm, Coil;Tektro Mech Disc Brakes, 160/160mm Rotors
Vitus;Dee VR City Bike (Nexus) 2021;429,99;Hybrid - City;------;L, M;Shimano Nexus Internal Hub Gear, 3 Speed;7 Speed;"Vee, Hi-Ten Steel, 1 1/8"" Steerer, Mudguard Mounts, QR";Shimano SM-RT30, Front: 160mm Shimano MT400 Hydraulic Disc, BL-MT400 & BR-MT400, Resin Pads, Rear: 160mm
Fuji;Declaration Urban Bike 2021;449,99;Hybrid - City;------;"58cm (22.75""), 61cm (24""), 55.3cm (21.5""), 52cm (20.5"")";N/A;Single Speed;Fuji Hi-tensile Steel;Alloy dual pivot calipers
Fuji;Nevada 26 1.9 V-BRAKE Urban Bike 2021;449,99;Hybrid - City;------;"33cm (13""), 43.5cm (17""), 38.5cm (15""), 19""";Shimano Tourney;21 Speed;Zoom CH-565AMS, 100mm travel;"Levers: Shimano EF41; Calipers: TX-117 V-Brakes"
Fuji;Traverse 1.7 ST Urban Bike 2021;449,99;Hybrid - City;------;"43.5cm (17""), 38.5cm (15""), 19"", 21""";Shimano Tourney 7-Speed;21 Speed;SR NEX suspension, 63mm travel;Tektro M280, mechanical disc, 160mm/140mm rotors
Fuji;Traverse 1.7 Urban Bike 2021;449,99;Hybrid - City;------;"19"", 43.5cm (17""), 21""";Shimano Tourney;21 Speed;SR NEX suspension, 63mm travel;"Levers: Shimano EF41; Calipers: Tektro M280, mechanical disc; Rotors: 160mm/140mm"
GT;Transeo Elite Urban Bike 2021;499,99;Hybrid - City;------;M, XL, L, S;Shimano Acera, 8-Speed;16 Speed;Suntour NVX-DS HLO 75mm Travel, Pre-load Adjust, Hydraulic Lockout, Disc Specific, Fender Mounts;Shimano MT200 Hydro Disc, 160/160mm RT10 Rotors
Zannata;Z21 Road Bike 2020;539,4;Hybrid - City;------;"48cm (19""), 53.5cm (21"")";Shimano Claris;------;Aluminium;Shimano Claris caliper rim brakes
Cube;Nature Trapeze Urban Bike 2021;549;Hybrid - City;------;"46cm (18""), 54cm (21"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm, Lockout;Tektro HD-M275, Hydr. Disc Brake (160/160)
Cube;Nature Urban Bike 2021;549;Hybrid - City;14.4 kg;"54cm (21"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm, Lockout;Tektro HD-M275, Hydr. Disc Brake (160/160)
Kona;Dew Urban Bike 2021;549;Hybrid - City;14.4 kg;L, M, S, XL;Shimano Altus, 8-Speed;24 Speed;Kona Project Two Disc;"Tektro M280 mechanical disc; Rotors: 160mm"
Fuji;Feather Urban Bike 2021;549,99;Hybrid - City;------;"61cm (24""), 52cm (20.5""), 49.5cm (19.5""), 56cm (22""), 58cm (22.75""), 54cm (21"")";N/A;Single Speed;"Fuji flat-crown Chromoly, 1"" threaded steerer";"Levers: Promax Alloy; Calipers: Tektro R315"
Vitus;Mach 3 VR Urban Bike (Claris) 2021;579,99;Hybrid - City;------;M, XXL, XL, L, S, XS;Shimano Claris R2000, RD-R2000, 8 Speed;8 Speed;Mach 3, 6061-T6 Aluminium, Tpered Steerer, QR, Flat Mount, Mud Guard Mounts;Tektro TR-160, Front: 160mm Tektro C310 Disc, MD-C310-F, Cable Actuated Disc, Flat Mount, Rear: 160mm
Creme;Molly Ladies Bike 2020;589,99;Hybrid - City;16kg;S, M;------;3 Speed;"Lugged Hi-Ten Steel, 1""";"Front: Caliper; Rear: Coaster brake / hub integrated"
Cube;Touring Bike 2021;649;Hybrid - City;16.5kg;"54cm (21""), 50cm (19.5""), 58cm (22.75"")";Shimano Altus RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm travel;V-Brakes
Cube;Touring Easy-Entry Bike 2021;649;Hybrid - City;16.5kg;"53.5cm (21""), 49.5cm (19.5"")";Shimano RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm travel;V-Brake
Cube;Touring Trapeze Bike 2021;649;Hybrid - City;16.5kg;"54cm (21""), 50cm (19.5""), 46cm (18"")";Shimano RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm;V-Brake
Fuji;Absolute 1.7 ST Urban Bike 2021;649,99;Hybrid - City;------;"38.5cm (15""), 19"", 43.5cm (17"")";Shimano Alivio shadow;18 Speed;Fuji A1 Aluminium;Tektro HD-275, hydraulic disc, 160mm rotors
