Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Brand-X;Road Bike;299,99;Road;11.5kg (Medium);M, XL, S, XS, L;Shimano Tourney;7 Speed;Steel;Tektro R312 rim brakes
Vitus;Dee City Bike (Tourney) 2021;349,99;Hybrid - City;18.3kg;L, M;Shimano Tourney, RD-A070, 7 Speed;7 Speed;"Vee, Hi-Ten Steel, 1 1/8"" Steerer, Mudguard Mounts, QR";Alhonga, Front: 160mm, Rear: 160mm
Cube;Aim Pro 27.5 Hardtail Bike 2021;449;Mountain;14.4kg;"40cm (16""), 14"", 36cm (14""), 16.25""";Shimano Tourney RD-TX800, 8-Speed;24 Speed;SR Suntour XCE, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160)
Cube;Aim Pro 29 Hardtail Bike 2021;449;Mountain;14.4kg;"48cm (19""), 43.5cm (17""), 53cm (21""), 59cm (23""), 21""";Shimano Tourney RD-TX800, 8-Speed;24 Speed;SR Suntour XCE, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160)
Cube;Access WS EAZ 27.5 Hardtail Bike 2021;499;Mountain;14.5kg;"40cm (16""), 33cm (13"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour XCT Disc, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160mm rotors)
Cube;Aim Race 27.5 Hardtail Bike 2021;499;Mountain;14.3kg;"40cm (16""), 36cm (14"")";Shimano RD-M360-SGS, 8-Speed;24 Speed;SR Suntour XCM Disc, 100mm, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Aim Race 29 Hardtail Bike 2021;499;Mountain;14.3kg;"21"", 59cm (23""), 43.5cm (17""), 53cm (21""), 48cm (19"")";Shimano RD-M360-SGS, 8-Speed;24 Speed;SR Suntour XCM Disc, 100mm, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Nature Urban Bike 2021;549;Hybrid - City;14.4 kg;"54cm (21"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm, Lockout;Tektro HD-M275, Hydr. Disc Brake (160/160)
Kona;Dew Urban Bike 2021;549;Hybrid - City;14.4 kg;L, M, S, XL;Shimano Altus, 8-Speed;24 Speed;Kona Project Two Disc;"Tektro M280 mechanical disc; Rotors: 160mm"
Kona;Lava Dome Hardtail Bike 2021;549;Mountain;14.2kg;M, S, L, XL;Microshift Advent W/ Clutch;9 Speed;SR Suntour XCR 32 Lo-r Coil Spring 100mm;Tektro Tr180 180mm
