transmission;tScore;suspension;sScore;brake;bScore;
Shimano Tourney;1;Steel;1;SRAM Centerline 160mm;4;
Shimano Claris;2;Zannata Aluminium;1;Promax;3;
Shimano Claris R2000 RD-R2000, 8 Speed;2;Razor Carbon UD Carbon, Tapered Aluminium Steerer, QR, Mudguard Mounts;1;Standard road caliper;2;
Shimano Claris RD-R2000-GS, 8-Speed;2;"CUBE CSL Race, Full Carbon, 1 1/8""-1 1/4"" Tapered";1;Tektro R312 rim brakes;3;
Shimano Claris RD-R2000-SS, 8-Speed;2;"CUBE CSL Race, One Piece 3D Forged Steerer / Crown, Carbon Blades, 1 1/8 ""- 1 1/4"" Tapered";1;Tektro R317 Dual Pivot, Long Reach;3;
Shimano Deore SGS, 10-Speed;3;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;1;De Rosa Tektro Direct Mount;3;
Shimano Sora R3000 RD-R3000, 9 Speed;3;Columbus 1-1/8” Carbon blades / Tapered alloy steerer;1;Shimano Claris caliper brakes (rim brakes);3;
Shimano Sora RD-R3000, 9-Speed;3;Razor Carbon UD Carbon, Tapered Aluminium Steerer, Mudguard Mounts, Flat Mount, 12 x 100mm Axle;1;Shimano Claris BR-R2000;3;
Shimano Sora;3;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";1;Shimano Claris BR-R2000 Caliper Rim;3;
Shimano Tiagra RD-4700GS, 10-Speed;4;CrMo Steel fork, 9x100mm, 1-1/8”;1;"Levers: Shimano Sora; Calipers: Alloy dual pivot, 47mm-57mm reach";3;
Shimano Tiagra 10-speed SS Rear Derailleur;4;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";1;TRP Spyre C;4;
Shimano Tiagra 4700 10-Speed long cage;4;C5 Carbon Fibre legs, alloy steerer;1;TRP Spyre C cable-operated disc brakes;4;
Shimano Tiagra R4700 RD-R4700, 10 Speed;4;"Cube Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";1;TRP Spyre C mechanical disc, 160mm rotors;4;
Shimano Tiagra;4;Orro Gold Rim Brake Carbon;1;TRP Spyre C 160mm;4;
Shimano Tiagra 10-Speed;4;Oryx Disc Adventure, Aluminium, 12x100mm TA;1;TRP Spyre MD-C610C, Flat Mount (160/160);4;
Shimano 105 RD-R7000-DGS, 11-Speed;5;Columbus Pista Leggera Carbon 1-1/8” - 1-1/2”;1;Tektro Spyre Disc Brake MD-C610-C, Flat Mount, Cable Actuated;4;
Shimano 105 RD-R7000-GS, 11-Speed, Direct Mount;5;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;1;Tektro MD-C310 Disc Brake Flat Mount, Cable Actuated;4;
Shimano 105, 11-Speed;5;FC-440 full-Carbon monocoque, quick-release axle w/ flat-mount disc tabs, tapered steerer;1;Hayes MX Comp Disc;4;
Shimano 105 R7000 RD-R7000, 11 Speed, Long Cage;5;UD Carbon Full Carbon tapered steerer, 100 x 12mm;1;TRP HY/RD disc, 160mm rotors;4;
Shimano 105 R7000 RD-R7000, 10 Speed, Long Cage;5;FC-440 full-carbon monocoque, 12mm thru-axle w/ flat-mount disc tabs, tapered steerer;1;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors);5;
Shimano 105 R7000-GS, 11-Speed, Direct Mount;5;Kona Project Two Chromoly Disc Touring;1;Shimano BR-RS405, Hydr. Disc Brake, Flat Mount (160/160);5;
Shimano 105 R7000-SS, 11-Speed, Direct Mount;5;"Columbus Disc 1 1/8"" - 1 1/2"" Monocoque";1;Shimano Tiagra Hydraulic (160/140);5;
Shimano 105 R7000 Rd-r7000-gs, 11 Speed, Long Cage, Shadow;5;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;1;Shimano 105 ST-R7020 & BR-R7070, Hydraulic;6;
Shimano Ultegra RD-R8000-DGS, 11-Speed;6;"CUBE CSL Race Disc, Full Carbon, Flat Mount, 1 1/8"" - 1 1/4"" Tapered, 12x100mm";1;Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160);6;
Shimano Ultegra R8000 RD-R8000, 11 Speed, Long Cage;6;Vitesse Evo Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 X 12mm, Flat Mount, Size Specific;1;Shimano 105 R7000 ST-R7070-R, Flat Mount, Hydraulic;6;
Shimano Ultegra RD-R8000 SS;6;Kona Project Two Chromoly Disc Touring fork;1;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, 140mm Rotor, Resin pad with cooling fin;6;
Shimano Ultegra R8000 RD-R8000-GS, 11 Speed, Long Cage, Shadow;6;De Rosa King XS;1;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, Resin pad with cooling fin;6;
Shimano Ultegra R8000 RD-R8050, 11 Speed, Long Cage;6;Kona Project Two Cromoly Disc Touring Fork;1;Shimano 105 R7000 Disc St-r7020, Hydraulic Disc, Flat Mount;6;
Shimano Ultegra R8000 RD-R8050-GS, 11 Speed, Long Cage, Shadow;6;"CUBE CSL Evo Aero C:62 Technology, 1 1/8"" / 1 1/4"" Tapered, Flat Mount, 12x100mm";1;Shimano Ultegra hydraulic disc;7;
Shimano Ultegra R8050 Di2 11-Speed long cage;7;Columbus Future Cross Carbon Fibre;1;Shimano Ultegra R8000 Disc ST-R8070, Hydraulic Disc, Flat Mount;7;
Shimano Ultegra Di2 RD-8050-DGS, 11-Speed;7;Felt Variable Road UHC Advanced + TeXtreme carbon fiber monocoque construction, size specific ControlTaper Carbon Fibre steerer tube, integrated crown race, crown, blades, flat mount disc standard, 12 x 100mm thru axle;1;Shimano Ultegra R8000 ST-R8070-R, Flat Mount, Hydraulic;7;
